threshold,precision,recall,f1,predicted_positive_rate
0.1,0.99147332936744,1.0,0.9957184108334163,0.5719827146211167
0.15,0.9945696497125693,1.0,0.9972774326089775,0.5702020030170019
0.2,0.9960951508148385,0.99996,0.9980238337625007,0.5693059761588803
0.25,0.9975053385754485,0.99964,0.9985715284645429,0.5683192124037338
0.3,0.998740906547286,0.99946,0.999100323883402,0.5675139224426373
0.35,0.99924,0.99924,0.99924,0.5671056064060249
0.4,0.9996997357674754,0.99882,0.999259674256673,0.5666065534723876
0.45,0.9998397467999439,0.99826,0.9990492489066363,0.5662095795479034
0.5,0.999919804322547,0.99748,0.9986984120627165,0.5657218687263942
0.55,0.9999397566167316,0.9959,0.997915789895589,0.5648144997561446
0.6,0.9999396669616282,0.99442,0.9971721952589147,0.5639751834586637
0.65,0.9999395977208206,0.99328,0.9965986735830314,0.5633286830673608
0.7,0.9999394587613263,0.991,0.9954496599801111,0.5620356822847551
0.75,0.999979770189351,0.98862,0.9942674390538258,0.5606632867172525
0.8,1.0,0.98578,0.9928390859007543,0.5590413646829313
0.85,1.0,0.97738,0.9885606206192031,0.5542776775891206
0.9,1.0,0.95338,0.9761336759872631,0.540667143035376
