threshold,precision,recall,f1,predicted_positive_rate
0.1,0.999919995199712,0.99986,0.999889996699901,0.5670715800696405
0.15,0.999939995199616,0.99986,0.99989999599984,0.5670602379575125
0.2,1.0,0.99986,0.999929995099657,0.5670262116211281
0.25,1.0,0.99986,0.999929995099657,0.5670262116211281
0.3,1.0,0.99986,0.999929995099657,0.5670262116211281
0.35,1.0,0.99986,0.999929995099657,0.5670262116211281
0.4,1.0,0.99986,0.999929995099657,0.5670262116211281
0.45,1.0,0.99986,0.999929995099657,0.5670262116211281
0.5,1.0,0.99986,0.999929995099657,0.5670262116211281
0.55,1.0,0.99986,0.999929995099657,0.5670262116211281
0.6,1.0,0.99986,0.999929995099657,0.5670262116211281
0.65,1.0,0.99986,0.999929995099657,0.5670262116211281
0.7,1.0,0.99986,0.999929995099657,0.5670262116211281
0.75,1.0,0.99984,0.9999199935994879,0.5670148695089999
0.8,1.0,0.99982,0.999909991899271,0.5670035273968719
0.85,1.0,0.99978,0.9998899878986689,0.5669808431726157
0.9,1.0,0.99964,0.9998199675941669,0.5669014483877187
